charge_configuration,system_of_units,blast_parameter,function,variable,coefficient_position,coefficients,lower_range,upper_range,units
hemispherical,metric,shock_front_velocity,1,Y,14,0.00038474949160,0.0674,40,ms
test,imperial,test,1,U,0,1,0.5,9,test
test,imperial,test,1,U,1,1,0.5,9,test
test,imperial,test,2,U,0,1,9,50,test
test,imperial,test,2,U,1,1,9,50,test
test,imperial,test,3,U,0,1,50,100,test
test,imperial,test,3,U,1,1,50,100,test
test,imperial,test,1,Y,0,1,0.5,9,test
test,imperial,test,1,Y,1,1,0.5,9,test
test,imperial,test,1,Y,2,1,0.5,9,test
test,imperial,test,2,Y,0,1,9,50,test
test,imperial,test,2,Y,1,1,9,50,test
test,imperial,test,2,Y,2,1,9,50,test
test,imperial,test,3,Y,0,1,50,100,test
test,imperial,test,3,Y,1,1,50,100,test
test,imperial,test,3,Y,2,1,50,100,test
